job title,location,company name,job experience
Electrical Engineer,"Sidi Gaber, Alexandria, Egypt",Sigma Alex Supplies -,"Full Time
On-site
Experienced · 2 - 3 Yrs of Exp · females_only · Engineering - Mechanical/Electrical ·
Electrical Engineering
·
Engineering
·
Mechanical Engineering
· Electrical
· Communication
· Electrical manufacturing"
Senior Site Engineer,"New Cairo, Cairo, Egypt",Eleven Eleven Property Management -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture ·
Civil Engineering
· Construction
· Communication
· Site
· AutoCAD
· Civil
· Computer Science
· Design
·
Engineering"
Industrial Quality Internship - Alexandria,"Ameria, Alexandria, Egypt",Prometeon Tyres Group – Egypt (Ex-Pirelli Tyres Egypt) -,"Internship
On-site
Entry Level · 0 - 1 Yrs of Exp · Quality · Engineering - Mechanical/Electrical
· industrial Quality
·
Data Analysis
· Reporting
·
Engineering
· Mechanical
·
Electromechanical Engineering
· quality
· Quality Assurance"
Sr. Automation Sales Engineer,"New Cairo, Cairo, Egypt",Elsewedy industries -,"Full Time
On-site
Experienced · 4 - 6 Yrs of Exp · Engineering - Mechanical/Electrical
· Automation Sales
· panels sales"
Construction Technical Office Engineer,"New Cairo, Cairo, Egypt",Eleven Eleven Property Management -,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture
· Construction
· Communication
· Management
· 3D
· AutoCAD
· Civil
·
Civil Engineering
· Design
·
Engineering"
Mechanical Engineer,"New Damietta, Damietta, Egypt",ALQIMA Real Estate & Development -,"Full Time
On-site
Experienced · 8 - 10 Yrs of Exp · Engineering - Mechanical/Electrical
· AutoCAD
· CAD
·
Mechanical Engineering
· Revit
· Mechanical"
Application Support Engineer,"Bourj Alarab, Alexandria, Egypt",Jade Textile Egypt -,"Full Time
On-site
Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Application Support
· Computer Science
·
Engineering
· Information Technology (IT)
· ITIL
· Software
· computer
· Customer Support"
Senior Software Quality Control Engineer,"New Cairo, Cairo, Egypt",ICIS -,"Full Time
Hybrid
Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality
· Computer Science
· Control
· quality
· Quality Assurance
·
Quality control engineer
· Quality Control
· Software Quality
· software quality control"
Technical Sales Engineer,"Nasr City, Cairo, Egypt",Quality Systems -,"Full Time
Hybrid
Entry Level · 0 - 2 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical ·
Engineering
· Mechanical
· Electrical
·
Electrical Engineering"
Administrative Coordinator - Engineering Department,"Heliopolis, Cairo, Egypt",La Hacienda -,"Full Time
On-site
Experienced · 2 - 3 Yrs of Exp · Administration · Project/Program Management
· Admin
· Administration
· Communication skills
· Customer Service
·
Engineering
· excel
· Management
· Project"
